acronym,nb total mentions throught different rows,nb total mentions in text,mentions in text,num_variations,variations,Total True,Total False,True/False
OP,1,2,"[(63, 2)]",3,"{'Opérateur de production', ""OPposable.  Un texte OPposable est un document qui impose des exigences, des règles, des prescriptions, des manières de faire,...  et qui doit être appliqué par les entreprises ferroviaires autorisées à exploiter tout ou partie du réseau ferré national en ce qui concerne la France. Un texte opposable est un texte qui, en cas de problème, pourrait être opposé à celui qui aurait dû en appliquer les prescriptions.     Les obligations réglementaires, issues du décret nḞ2006-1279 et de l'arrêté du 23 juin 2003 modifié par l'arrêté du 7 novembre 2006 et de l'arrêté réglementation global du...., relatives à la sécurité de l'exploitation sur le RFN, applicables par l'ensemble des entreprises ferroviaires autorisées, ont conduit à créer une nature de texte dite  texte opposable afin de pouvoir aisément isoler cette documentation. Cette documentation dite opposable applicable par toutes les entreprises ferroviaires et le GID. "", ""Ordre de production : commande de constituant(s) ou d'ensemble(s) passée par un client interne SNCF dans l'ERP ''ÉLAN''vers des fournisseurs internes (EIV, par exemple) dans le système de GPAO ''VÉGA''.""}",1,2,"{63: {'True': 1, 'False': 2}}"
DT,11,13,"[(66, 1), (96, 1), (131, 1), (231, 1), (235, 1), (306, 1), (318, 1), (372, 1), (377, 1), (391, 3), (450, 1)]",5,"{'Déclaration de Travaux faite pour recenser les réseaux à proximité des travaux à réaliser.    Voir glossaire du guide de management des projets (p.202)', ""Double Traction :  Mode de traction d'une circulation par deux machines placées en tête, chaque machine est commandée par un conducteur."", 'Disposition technique', 'Détonateur', 'Direction Territoriale  ou Directeur Territorial'}",11,14,"{66: {'True': 1, 'False': 4}, 96: {'True': 1, 'False': 4}, 131: {'True': 1, 'False': 4}, 231: {'True': 1, 'False': 4}, 235: {'True': 1, 'False': 4}, 306: {'True': 1, 'False': 4}, 318: {'True': 1, 'False': 4}, 372: {'True': 1, 'False': 4}, 377: {'True': 0, 'False': 5}, 391: {'True': 1, 'False': 4}, 450: {'True': 1, 'False': 4}}"
DE,10,16,"[(68, 1), (84, 2), (154, 1), (181, 1), (245, 1), (270, 1), (359, 5), (389, 1), (399, 1), (465, 2)]",9,"{'RACCORDEMENT de  FOLLIGNY OUEST ', ""Données d'entrée."", 'Desarmement', 'Dossier Estimatif.', 'DIEPPE', ""Détecteur d'Éboulements.  Dispositif relié à des filets en zone de danger d'éboulement, permettant d'avertir le personnel de l'établissement correspondant lors d'un éboulement sur la ligne."", ""Demande d'essai"", 'article ""de""', 'Pas un acronyme, ""de"" en majuscule'}",9,15,"{68: {'True': 0, 'False': 6}, 84: {'True': 1, 'False': 6}, 154: {'True': 1, 'False': 6}, 181: {'True': 1, 'False': 6}, 245: {'True': 0, 'False': 6}, 270: {'True': 0, 'False': 6}, 359: {'True': 1, 'False': 5}, 389: {'True': 1, 'False': 5}, 399: {'True': 1, 'False': 5}, 465: {'True': 1, 'False': 6}}"
RGP,1,1,"[(69, 1)]",4,"{'Relation à grand parcours', 'Relation grand parcours', 'ROUGEMONT CHANTELOUP', 'Éléments automoteurs diesel type relation grand parcours'}",1,3,"{69: {'True': 1, 'False': 3}}"
IN,1,1,"[(80, 1)]",4,"{'Intermédiaire', 'Indemnité horaire de nuit', 'IRUN', 'Infrastructure'}",1,3,"{80: {'True': 1, 'False': 3}}"
VT,1,1,"[(85, 1)]",6,"{'Vérifications techniques', 'Voie de transmission', 'Journée chômée supplémentaire pour les agents travaillant à temps partiel', 'VenTilateur', 'Visite technique (matériel)', 'VERTOU'}",0,6,"{85: {'True': 0, 'False': 6}}"
EP,6,10,"[(90, 2), (194, 1), (240, 2), (340, 2), (413, 1), (417, 2)]",11,"{""Entretien Professionnel :   Il constitue un moment clé d'échange, consacré aux perspectives d'évolution professionnelle, notamment en termes de qualification et d'emploi. Il permet de faire le point sur les acquis des formations déjà suivies et d'identifier les besoins de développement des compétences du salarié. C'est une obligation légale. Il est préconisé de le réaliser au moment de l'entretien individuel d'appréciation (EIA) ou du rendez-vous professionnel individuel annuel (RPIA)."", 'Équipe-projet', 'Exercice pratique', 'Embranchement particulier', 'Empreinte de patinage', 'Enclenchement de proximité', 'Etablissement public', 'Échange Prenant', 'Etude Préliminaire', 'Enquête publique', 'canalisation des Eaux Pluviales'}",6,15,"{90: {'True': 1, 'False': 10}, 194: {'True': 1, 'False': 10}, 240: {'True': 1, 'False': 10}, 340: {'True': 0, 'False': 11}, 413: {'True': 1, 'False': 10}, 417: {'True': 1, 'False': 10}}"
CRC,2,2,"[(118, 1), (219, 1)]",6,"{'Centre de relations clientèle', 'Compte Rendu de Caisse', ""Contrôle de Redondance Cyclique ou Cyclical Redundancy Check :  système de calcul garantissant l'intégrité des données transmises ( vérification de parité)"", 'Coordonnateur Régional des Circulations', 'CERENCES', 'Centre régional de conduite'}",2,6,"{118: {'True': 1, 'False': 5}, 219: {'True': 1, 'False': 5}}"
ZI,1,1,"[(119, 1)]",2,"{'Zone isolée', 'Zone inondable'}",0,2,"{119: {'True': 0, 'False': 2}}"
SAL,8,17,"[(123, 1), (148, 1), (211, 1), (225, 10), (284, 1), (324, 1), (406, 1), (429, 1)]",2,"{""Signal d'Alerte Lumineux. C'est le clignotement des projecteurs d'un train, indiquant aux circulations circulant dans l'autre sens d'un éventuel danger immédiat. Le SAL ordonne à tous les conducteurs l'apercevant de s'arrêter d'urgence."", 'SALBRIS'}",8,8,"{123: {'True': 1, 'False': 1}, 148: {'True': 0, 'False': 2}, 211: {'True': 1, 'False': 1}, 225: {'True': 0, 'False': 2}, 284: {'True': 1, 'False': 1}, 324: {'True': 0, 'False': 2}, 406: {'True': 0, 'False': 2}, 429: {'True': 1, 'False': 1}}"
IP,2,2,"[(128, 1), (244, 1)]",4,"{'Interrupteur de pontage', 'Industrie privée', 'Identification Potentiel', 'Insuffisance de Perception'}",1,5,"{128: {'True': 0, 'False': 4}, 244: {'True': 0, 'False': 4}}"
DC,1,1,"[(135, 1)]",8,"{'Double Champignon (rail)', 'Département Comptable', 'Documents Conformes', 'Décondamnation', ""Droit de Circulation (redevance d'infrastructure) : calculé sur la base des unités d'oeuvre de BTBU (sillons réels). S'applique à toute circulation (train, évolution et manoeuvre) sur les VP du RFN (sauf circulation pour le compte du GI). Il est égal au produit de la distance parcourue par un prix kilométrique de la catégorie de circulation (HLP, fret, autre) en y intégrant les ESD (entrées, sorties dépôt) et les MCR (manoeuvres en cours de route) décomptées pour 1/3 sur les VP et pour 2/3 sur les VS (voir DA, DRS, DRAG,RCE)"", 'DANNES CAMIERS', 'Dossier Client', 'Dossier de contrôle'}",0,8,"{135: {'True': 0, 'False': 8}}"
MP,1,1,"[(138, 1)]",4,"{'MASSY PALAISEAU', 'Matériel pneumatique', 'Maintenance préventive', ""Marche prudente : l'obligation de marcher avec prudence . impose au conducteur de franchir une partie de voie délimitée en réduisant sa vitesse compte tenu du motif qui lui a été indiqué.""}",0,4,"{138: {'True': 0, 'False': 4}}"
SGC,5,5,"[(140, 1), (163, 1), (367, 1), (385, 1), (436, 1)]",5,"{'Système de gestion des circulations', 'Service chargé de la Gestion des Circulations', 'Service de gestion des circulations ', 'SAINT GEORGES DE COMMIERS', 'Système de gestion de contenu'}",4,6,"{140: {'True': 0, 'False': 2}, 163: {'True': 0, 'False': 2}, 367: {'True': 1, 'False': 2}, 385: {'True': 1, 'False': 2}, 436: {'True': 1, 'False': 2}}"
VL,2,7,"[(155, 3), (226, 4)]",4,"{'Visite Limitée', 'VENIZEL', 'Vitesse Limite', 'Voie libre ( feu vert )'}",2,4,"{155: {'True': 1, 'False': 3}, 226: {'True': 1, 'False': 3}}"
MA,2,5,"[(160, 3), (394, 2)]",5,"{'Manuel / automatique', 'Maladie', 'Maintenance et appui', 'movement authority', 'Marche arrêt'}",1,6,"{160: {'True': 0, 'False': 5}, 394: {'True': 0, 'False': 5}}"
BAL,2,2,"[(167, 1), (260, 1)]",4,"{'Block Automatique Lumineux', 'Boîte aux lettres', 'BALE', ""Block Automatique Lumineux : signalisation latérale pour la gestion et la régulation des circulations ferroviaires.  Le cantonnement ou l'espacement  des trains s'effectue de manière automatique, sans intervention humaine (sauf pour les points de bifurcation ou zones d'aiguillages). C'est le type de cantonnement utilisé sur toute la ligne D. Il présente un double avantage : offre un niveau élevé de sécurité et un débit ferroviaire important. L'inconvénient de ce type d'espacement est qu'il est très coûteux (nombre de signaux).""}",3,3,"{167: {'True': 2, 'False': 2}, 260: {'True': 2, 'False': 2}}"
DRI,2,2,"[(176, 1), (271, 1)]",3,"{'Dirigeant Régional Infrastucture en poste 7/7 24/24 pour assurer la gestion de crise régionale en lien avec le DRC (Circulations) et le DRO (Opérations).', 'DIEMERINGEN', 'Direction régionale infrastructure'}",1,4,"{176: {'True': 0, 'False': 3}, 271: {'True': 0, 'False': 3}}"
PSL,2,3,"[(179, 2), (248, 1)]",2,"{'Poste de secours local', 'PARIS ST LAZARE'}",2,2,"{179: {'True': 1, 'False': 1}, 248: {'True': 1, 'False': 1}}"
TLC,1,1,"[(189, 1)]",2,"{'Tableau lumineux de correspondance pour voies convergentes', 'Tableau lumineux pour voies convergentes'}",2,0,"{189: {'True': 2, 'False': 0}}"
BB,1,6,"[(191, 6)]",3,"{'BLANGY SUR BRESLE', '2 essieux moteur par bogie', 'Battement à Blanc'}",0,3,"{191: {'True': 0, 'False': 3}}"
BFC,1,1,"[(197, 1)]",2,"{'Bouton de Franchissement de signal Carré - bouton présent sur le KVB en cabine de conduite ', 'Budget de Fonctionnement Courant  '}",0,2,"{197: {'True': 0, 'False': 2}}"
PLM,3,3,"[(224, 1), (227, 1), (459, 1)]",5,"{""Nom d'une ancienne compagnie ferroviaire française, la compagnie des chemins de fer de paris à lyon et à la méditerranée."", 'Ligne Paris-Lyon-Marseille (Paris-Lyon-Méditerranée)', 'PARAY LE MONIAL', 'Pôle locatif meublés', ""Product Lifecycle Management.Le PLM est l'extension du PDM (Product Data Management, circonscrit au périmètre de&nbsp;l'Ingénierie) à toute la chaine de gestion du cycle de vie du Produit, depuis la spécification des exigences jusqu'à la fin de vie, en passant par la maitrise de la définition du Matériel et les nécessités du MCO (Maintien en Conditions Opérationnelles) : Mise en service, Maintenance, Réparation, Approvisionnements, Achats...""}",3,6,"{224: {'True': 1, 'False': 4}, 227: {'True': 1, 'False': 4}, 459: {'True': 1, 'False': 4}}"
OA,1,3,"[(259, 3)]",2,"{""Ouvrage d'art (liste des oa, calcul des points oa, statistiques)"", 'Opération Accidentelle'}",0,2,"{259: {'True': 0, 'False': 2}}"
RSS,4,4,"[(295, 1), (337, 1), (365, 1), (402, 1)]",3,"{""Régulateur Sous Stations : Agent chargé à partir d'un central sous-stations de l'exploitation des installations électriques de sa zone d'action."", 'ROSNY SUR SEINE', 'radio et système de surface'}",4,5,"{295: {'True': 1, 'False': 2}, 337: {'True': 1, 'False': 2}, 365: {'True': 1, 'False': 2}, 402: {'True': 1, 'False': 2}}"
PCD,2,2,"[(297, 1), (441, 1)]",3,"{'Potentiel Cadre Dirigeant', ""Protection de courte durée : méthode de protection des opérations engageant fugitivement le gabarit d'une voie à l'occasion des travaux de maintenance de l'infrastructure"", 'poste de commande à distance'}",2,3,"{297: {'True': 1, 'False': 2}, 441: {'True': 1, 'False': 2}}"
RD,1,1,"[(316, 1)]",7,"{'Refonte de desserte', 'Rennes Dépôt', ""Ensemble de 2 ou 3 repos périodiques accolés au cours d'une année"", 'Route départemental', 'Redresseur', 'Remiseur/dégareur', 'Rouen Rive Droite '}",1,6,"{316: {'True': 1, 'False': 6}}"
IV,1,1,"[(320, 1)]",6,"{'Inverse', 'Inspection Visuelle entre chaque train', 'IVRY SUR SEINE', ""Direction de l'equipement"", 'Information Voyageur', 'Pas un acronyme : chiffre 4 en chiffre romain'}",1,5,"{320: {'True': 1, 'False': 5}}"
LM,1,1,"[(342, 1)]",2,"{'limite de manoeuvre', 'LE MANS'}",1,1,"{342: {'True': 1, 'False': 1}}"
TM,2,2,"[(347, 1), (382, 1)]",8,"{'Total maximal', 'Traverse Métallique', ""Ticket modérateur : part des frais qui, en fonction du taux de remboursement applicable au bénéficiaire de soins, n'est pas remboursé"", 'Technicentre de Maintenance', ""Transport Massif.  Envoi dont le tonnage et / ou le nombre de wagons déterminent des conditions d'acceptation et d'acheminement spécifiques."", 'Train de Machines', 'filière Transport-Mouvement', 'Tablier métallique'}",2,8,"{347: {'True': 1, 'False': 7}, 382: {'True': 1, 'False': 7}}"
RC,2,2,"[(355, 1), (486, 1)]",13,"{'Raccordement Circulaire', 'Repos compensateur', 'ROCHEFORT', 'Résistance de continuité', 'Remise en Conformité', 'Retour chantier ', 'Référencement Réseau', 'Roue codeuse', 'Redevance de circulation', 'Renfort Clientèle', 'Rédacteur Consigne', 'Responsabilité civile', 'Réservoir de Commande'}",1,13,"{355: {'True': 0, 'False': 12}, 486: {'True': 1, 'False': 12}}"
TT,1,1,"[(368, 1)]",9,"{'Transport Traction', 'Transmetteur', 'Transformateur de tension', ""schéma de neutre TT (neutre de l'installation et masses reliés à la Terre)  "", ""Tram Train :  Véhicule doté d'installations motrices, aménagé pour le transport de voyageurs, dont la source d'énergie est l'électricité et conçu pour circuler sur les voies du réseau ferré national et sur les voies urbaines empruntées par des tramways."", ""Tête des Trains. Pancarte carrée avec l'inscription  TT  en blanc sur fond noir. Signifie que, quelle que soit la longueur du train, celui-ci s'arrêtera systématiquement au bout du quai. En l'absence de pancarte TT, d'autres pancartes indiquent l'arret des trains selon leur longueur (nombre de voitures)"", 'TRICOT', 'TéléTravail', ""Terminal Technique (outil d'aide à la maintenance PAI)""}",0,9,"{368: {'True': 0, 'False': 9}}"
MG,2,2,"[(369, 1), (408, 1)]",3,"{'Mesure générale', 'Voie MG :dénomination de la voie ', 'MOYEUVRE GRANDE'}",2,3,"{369: {'True': 1, 'False': 2}, 408: {'True': 1, 'False': 2}}"
ST,1,1,"[(370, 1)]",7,"{'Stationnement', 'SAILLAT CHASSENON', 'Spécifications techniques', 'Service Telecom', 'Sous-traitant', 'Sectionneur de Terre', 'Service Terminé (Z FP-ST).    Commutateur ḋ Fermeture Porte Service Terminé Ṡ'}",1,6,"{370: {'True': 1, 'False': 6}}"
STD,1,1,"[(374, 1)]",2,"{'Système de Transmission de Données', 'Semaine Type Détaillée'}",0,2,"{374: {'True': 0, 'False': 2}}"
GC,1,1,"[(384, 1)]",4,"{'Génie Civil', 'Grande Ceinture', 'Grand centre', ""Graphique de circulation : représentation sur deux axes, espace et temps, de l'utilisation de la capacité d'une ligne ferroviaire (se traduisant à la fois par des sillons et par des plages de maintenance). en suisse le terme utilisé est horaire graphique.""}",1,3,"{384: {'True': 1, 'False': 3}}"
PRG,1,1,"[(409, 1)]",3,"{'PREIGNAC', ""Poste d'aiguillage tous relais géographique à câblage standard. capacité de 30 à 100 itin. pas de gestion des protections mais coût très < à prci ou pai. télécommandable mais par un autre prg (homogénéité système). enregistrement limité à 24 itinéraires par zone commandée"", 'Paris rive gauche'}",1,2,"{409: {'True': 1, 'False': 2}}"
ATO,1,1,"[(414, 1)]",4,"{""Automatic Train Opération. C'est-à-dire le pilotage automatique."", 'Avis de Travaux Occasionnels  ', 'Automatic Train Operation', 'EP ATO'}",2,2,"{414: {'True': 2, 'False': 2}}"
TIP,1,1,"[(416, 1)]",2,"{""Techniques d'Intervention Professionnelle (cellule)"", 'Tableau lumineux indicateur de provenance'}",1,1,"{416: {'True': 1, 'False': 1}}"
VU,1,1,"[(423, 1)]",2,"{'Voiture à compartiment', ""Voie unique: régime d'exploitation d'une ligne dans lequel les trains des deux sens circulent sur la même voie, les mesures à prendre pour éviter la rencontre de deux trains de sens contraire étant définies par les règlements ou par une consigne. sur ce type de ligne, les trains de sens impair sont ceux qui s'éloignent du point kilométrique d'origine de celle-ci, tandis que les trains de sens pair sont ceux qui s'en rapprochent.""}",1,1,"{423: {'True': 1, 'False': 1}}"
CG,1,1,"[(433, 1)]",5,"{'Chef de Groupe', 'Contrôle de Gare (bouclage)', 'CHAMPAGNE', 'Calage', ""Conduite Générale (du frein à air d'un train).  Il s'agit de la ligne de commande du freinage dans le système de frein pneumatique.""}",1,4,"{433: {'True': 1, 'False': 4}}"
LV,1,1,"[(437, 1)]",2,"{'LYON VAISE', 'Ligne de voie'}",1,1,"{437: {'True': 1, 'False': 1}}"
PAI,1,1,"[(456, 1)]",4,"{'Permanent Acheminement Infra', 'Provision pour aléas et incertitudes : dans un budget prévisionnel de projet', 'PASILLY PRS 17', ""Poste d'aiguillage informatisé : la saisie de la commande, l'ordre d'exécution pour les installations de voie et les enclenchements sont informatisés. la transmission des ordres entre le poste et les installations en campagne se fait, non plus par liaison en cuivre mais, par fibre optique. le pai est adapté du ssi (solid state interlocking - enclenchements à base de circuits intégrés) développé en 1985 par gec pour les br. un pai est constitué de 4 niveaux : n0 : mintex + mckt, n1 : armoires d'enclenchements + armoire technique (pc industriel, enregistreur à bande magnétique, imprimante, clavier, souris, écran, modem), n2 : modules en campagne (mc : mcs, signaux - mca, aiguilles - mces, entrées-sorties), n3 : installations de la voie (signaux, aiguilles, crocodiles, détonateurs, circuits de voie...) (voir edlm, odlm)""}",1,3,"{456: {'True': 1, 'False': 3}}"
STI,1,1,"[(457, 1)]",6,"{'Subdivision terminale intérieur', ""Spécifications Techniques d'Interface : ce sont des normes que doivent respecter les équipements terminaux pour pouvoir se connecter au réseau d'un opérateur dans l'industrie des télécommunications."", 'système de transport intelligent', ""Spécifications techniques d'interopérabilité"", ""Spécifications Techniques d'Interopérabilité (des trains) :  Spécifications que chaque sous-système ou, le cas échéant, partie de sous-système, et ses constituants doivent respecter pour satisfaire aux exigences essentielles reprises en annexe du décret nḞ2006-1279 . les spécifications techniques d'interopérabilité, fixées au niveau communautaire, sont publiées au Journal officiel de l'Union européenne."", 'STAINS'}",1,5,"{457: {'True': 1, 'False': 5}}"
DU,1,1,"[(468, 1)]",7,"{""Dirigeant d'unité"", ""Diagramme d'Utilisation"", 'Pas un acronyme, c\'est du = de le : ""Du km… au km…""', 'Document unique', 'DUGNY', ""Dispositif de coupure d'Urgence : dispositif de mise hors tension rapide d'un ensemble d'éléments de caténaire en cas d'incident ou d'accident."", 'Draisine Unifiée'}",1,6,"{468: {'True': 1, 'False': 6}}"
CMT,1,1,"[(490, 1)]",4,"{'Contrôle des Mobiles Travaux', 'Connaissance et maîtrise du territoire', 'CHAMP-ST-PÈRE', 'Contrat Multi Technique'}",0,4,"{490: {'True': 0, 'False': 4}}"
